x_bin,y_bin,t_bin,particle_count
-56,-19,53,1
-54,-28,33,1
-45,-8,35,1
-44,42,121,1
-38,32,112,1
-37,-32,22,1
-37,-12,45,1
-36,30,111,1
-29,-45,0,1
-29,-29,30,1
-28,-33,20,1
-28,-19,46,1
-27,-8,80,1
-27,-1,74,1
-27,49,161,1
-25,-44,8,1
-25,10,111,1
-20,13,141,1
-15,-37,36,1
-14,9,148,1
-12,-44,48,1
-8,-18,109,1
-7,-2,106,1
-7,23,150,1
-6,-19,84,1
-5,-14,90,1
-5,31,168,1
-4,0,114,1
-2,-5,110,1
-2,2,121,1
-1,7,131,1
0,18,152,1
0,24,160,1
0,24,161,1
1,-24,88,1
4,5,137,1
4,7,141,1
4,23,168,1
6,39,202,1
7,38,199,1
8,-9,119,1
11,-28,106,1
15,-46,125,1
15,-5,149,1
15,12,182,1
15,16,184,1
15,37,213,1
16,-4,144,1
20,32,219,1
21,-49,88,1
23,2,172,1
25,2,171,1
25,34,222,1
33,19,219,1
36,-8,183,1
38,-47,138,1
38,33,248,1
41,35,259,1
47,18,237,1
54,43,295,1
57,10,239,1
57,21,263,1
60,30,280,1
